event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
200 Meter Dash,Girls,2,,Finals,-3.6,"Smith, Jonielle",12,3,16 Wolmers Girls' S,25.11,6
200 Meter Dash,Girls,2,,Finals,-3.6,"Williams, Shimayra",12,4,16 Clarendon College,25.21,5
200 Meter Dash,Girls,2,,Finals,-3.6,"Smith, Renee",12,5,16 Convent OF Mercy,25.26,4
200 Meter Dash,Girls,2,,Finals,-3.6,"Dallas, Kedisha",12,6,17 Holmwood Technical,25.38,3
200 Meter Dash,Girls,3,,Finals,-3.5,"Helps, Shauna",12,1,15 Wolmers Girls' S,24.21,9
200 Meter Dash,Girls,3,,Finals,-3.5,"Deer, Shanta",12,2,15 Holmwood Technical,24.72,7
200 Meter Dash,Girls,3,,Finals,-3.5,"Whyte, Natallia",12,3,15 St. Jago High,24.85,6
200 Meter Dash,Girls,3,,Finals,-3.5,"Moss, Christine",12,4,15 St.Elizabeth Tec,24.93,5
200 Meter Dash,Girls,3,,Finals,-3.5,"Morgan, Ayeshia",12,5,14 Hydel High School,25.03,4
200 Meter Dash,Girls,3,,Finals,-3.5,"Smith, Davia",12,6,15 Edwin Allen High,25.29,3
200 Meter Dash,Girls,3,,Finals,-3.5,"Thompson, Safiah",12,7,14 St. Jago High,25.31,2
200 Meter Dash,Girls,3,,Finals,-3.5,"Hew, Britney",12,8,15 Holmwood Technical,25.39,1
200 Meter Dash,Girls,4,,Finals,-4.5,"Hopkins, Aaliyah",12,1,13 Edwin Allen High,25.67,9
200 Meter Dash,Girls,4,,Finals,-4.5,"Wright, Satanya",12,2,13 St.Elizabeth Tec,25.80,7
200 Meter Dash,Girls,4,,Finals,-4.5,"Dawkins, Aleeaha",12,3,13 Hydel High School,26.00,6
200 Meter Dash,Girls,4,,Finals,-4.5,"Allen, Tawana",12,4,13 ST Andrew High,26.04,5
200 Meter Dash,Girls,4,,Finals,-4.5,"Shaw, Kimone",12,5,12 St. Jago High,26.10,4
200 Meter Dash,Girls,4,,Finals,-4.5,"Farquharson, Khamoy",12,6,13 Edwin Allen High,26.33,3
200 Meter Dash,Girls,4,,Finals,-4.5,"Morrison, Shani",12,7,13 Manchester High,26.61,2
200 Meter Dash,Girls,4,,Finals,-4.5,"Samuels, Rosanna",12,8,13 Herbert Morrison,26.83,1
400 Meter Dash,Boys,2,,Finals,,"Williams, Okeen",12,1,16 St.Elizabeth Tec,47.96,9
400 Meter Dash,Boys,2,,Finals,,"Baker, Devaughn",12,2,15 Jamaica College,48.35,7
400 Meter Dash,Boys,2,,Finals,,"Lauthers, Fabian",12,3,16 Calabar High School,48.35,6
400 Meter Dash,Boys,2,,Finals,,"Walker, Rohan",12,4,16 Jamaica College,49.24,5
400 Meter Dash,Boys,2,,Finals,,"Henry, Ivan",12,5,16 St. Jago High,49.85,4
400 Meter Dash,Boys,2,,Finals,,"MC Kay, Shacquille",12,6,16 Wolmers' Boys SC,50.08,3
400 Meter Dash,Boys,2,,Finals,,"Black, Robin",12,7,16 St.Elizabeth Tec,50.34,2
400 Meter Dash,Boys,2,,Finals,,"Campbell, Malcolm",12,--,15 Calabar High School,DNF,0
400 Meter Dash,Boys,3,,Finals,,"Francis, Aykeeme",12,1,14 Calabar High School,50.96,9
400 Meter Dash,Boys,3,,Finals,,"Dixon, Damane",12,2,14 Dinthill Technic,51.22,7
400 Meter Dash,Boys,3,,Finals,,"Housen, Cody",12,3,14 Jamaica College,51.28,6
400 Meter Dash,Boys,3,,Finals,,"Porter, Gawayne",12,4,14 Calabar High School,53.14,5
400 Meter Dash,Boys,3,,Finals,,"Brown, Jovan",12,5,14 Wolmers' Boys SC,54.37,4
400 Meter Dash,Boys,3,,Finals,,"Barnes, Shemar",12,6,14 Innswood High SC,54.83,3
400 Meter Dash,Boys,3,,Finals,,"MC Leary, Javar",12,7,14 Jamaica College,54.85,2
400 Meter Dash,Boys,3,,Finals,,"Matherson, Jhevaughn",12,8,13 Kingston College,55.20,1
400 Meter Dash,Boys,1,,Finals,,"Francis, Javon",12,1,17 Calabar High School,47.58,9
400 Meter Dash,Boys,1,,Finals,,"Williams, Lennox",12,2,17 Manchester High,47.85,7
400 Meter Dash,Boys,1,,Finals,,"Williams, Jovan",12,3,19 Kingston College,48.04,6
400 Meter Dash,Boys,1,,Finals,,"MC Donald, Omari",12,4,18 Hydel High School,48.50,5
400 Meter Dash,Boys,1,,Finals,,"White, Tevin",12,5,18 Jamaica College,49.22,4
400 Meter Dash,Boys,1,,Finals,,"Morrison, Travane",12,6,19 Kingston College,49.26,3
400 Meter Dash,Boys,1,,Finals,,"Levy, Demar",12,7,18 St.Elizabeth Tec,49.55,2
400 Meter Dash,Boys,1,,Finals,,"Cousins, Carlton",12,8,18 Calabar High School,50.35,1
400 Meter Dash,Girls,1,,Finals,,"Jackson, Shericka",12,1,18 Vere Technical High,53.74,9
400 Meter Dash,Girls,1,,Finals,,"James, Olivia",12,2,18 Vere Technical High,54.40,7
400 Meter Dash,Girls,1,,Finals,,"Ambersley, Renea",12,3,19 Herbert Morrison,55.19,6
400 Meter Dash,Girls,1,,Finals,,"Bennette, Orenthia",12,4,19 St. Jago High,55.89,5
400 Meter Dash,Girls,1,,Finals,,"Scott, Annastasia",12,5,18 ST Andrew High,56.31,4
400 Meter Dash,Girls,1,,Finals,,"Markland, Titania",12,6,18 St. Mary High,56.55,3
400 Meter Dash,Girls,1,,Finals,,"Gordon, Omealla",12,7,18 ST Andrew High,57.55,2
400 Meter Dash,Girls,1,,Finals,,"Williams, Jodean",12,8,18 St. Mary High,58.52,1
400 Meter Dash,Girls,2,,Finals,,"MC Neil, Yanique",12,1,16 Vere Technical High,53.35,9
400 Meter Dash,Girls,2,,Finals,,"Cameron, Saqukine",12,2,16 Edwin Allen High,54.22,7
400 Meter Dash,Girls,2,,Finals,,"Hall, Asaine",12,3,17 Petersfield High,54.31,6
400 Meter Dash,Girls,2,,Finals,,"Leith, Genekee",12,4,16 St. Jago High,54.90,5
400 Meter Dash,Girls,2,,Finals,,"Witter, Cameka",12,5,16 St. Andrew Techn,55.76,4
400 Meter Dash,Girls,2,,Finals,,"Haughton, Camira",12,6,17 Edwin Allen High,56.05,3
400 Meter Dash,Girls,2,,Finals,,"Loney, Donna-Lee",12,7,16 Balaclava High S,57.14,2
400 Meter Dash,Girls,2,,Finals,,"Duncan, Britaney",12,8,16 Hydel High School,57.17,1
400 Meter Dash,Girls,3,,Finals,,"James, Tiffany",12,1,15 Papine High School,54.93,9
400 Meter Dash,Girls,3,,Finals,,"Hemmings, Semoy",12,2,15 Hydel High School,55.40,7
400 Meter Dash,Girls,3,,Finals,,"Cohen, Shenice",12,3,15 Holmwood Technical,55.89,6
400 Meter Dash,Girls,3,,Finals,,"Smith, Davia",12,4,15 Edwin Allen High,55.90,5
400 Meter Dash,Girls,3,,Finals,,"Buchanan, Okalia",12,5,14 Wolmers Girls' S,56.97,4
400 Meter Dash,Girls,3,,Finals,,"Kalawan, Shannon",12,6,14 Edwin Allen High,57.50,3
400 Meter Dash,Girls,3,,Finals,,"Grant, Nickeisha",12,7,15 Guys Hill,58.19,2
400 Meter Dash,Girls,3,,Finals,,"Kelly, Allesha",12,8,14 Guys Hill,1:03.39,1
100 Meter Dash,Boys,1,,Finals,1.3,Zharnel Hughes,14,1,Kingston College,10.12R,9
100 Meter Dash,Boys,1,,Finals,1.3,Jevaughn Minzie,14,2,Bog Walk High,10.16,7
100 Meter Dash,Boys,1,,Finals,1.3,Raheem Robinson,14,3,Wolmer's Hig,10.37,6
100 Meter Dash,Boys,1,,Finals,1.3,Martin Manley,14,4,St. Jago High,10.38,5
100 Meter Dash,Boys,1,,Finals,1.3,Waseem Williams,14,5,Jamaica College,10.40,4
100 Meter Dash,Boys,1,,Finals,1.3,Tyler Mason,14,6,Jamaica College,10.48,3
100 Meter Dash,Boys,1,,Finals,1.3,Javoy Tucker,14,7,Wolmer's Hig,10.64,2
100 Meter Dash,Boys,1,,Finals,1.3,Odane Bernard,14,8,Donald Quarrie High,10.75,1
100 Meter Dash,Boys,2,,Finals,0.2,Raheem Chambers,14,1,St. Jago High,10.29R,9
100 Meter Dash,Boys,2,,Finals,0.2,Jhevaughn Matherson,14,2,Kingston College,10.37,7
100 Meter Dash,Boys,2,,Finals,0.2,Jelani Walker,14,3,St. George's Col,10.61,6
100 Meter Dash,Boys,2,,Finals,0.2,Rushane Edwards,14,4,Munro College,10.71,5
100 Meter Dash,Boys,2,,Finals,0.2,Washington Brown,14,5,Cornwall College,10.78,4
100 Meter Dash,Boys,2,,Finals,0.2,Joshua Darby,14,6,St. George's Col,10.80,3
100 Meter Dash,Boys,2,,Finals,0.2,Javar Mcleary,14,7,Jamaica College,10.86,2
100 Meter Dash,Boys,2,,Finals,0.2,Akeem Bloomfield,14,8,Kingston College,11.44,1
100 Meter Dash,Boys,3,,Finals,-1.9,Tyreke Wilson,14,1,Calabar High,10.91,9
100 Meter Dash,Boys,3,,Finals,-1.9,Dejour Russell,14,2,Calabar High,10.96,7
100 Meter Dash,Boys,3,,Finals,-1.9,Chislon Gordon,14,3,Jamaica College,11.20,6
