event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Peter-gay Mckenzi,18,1,nil,4770x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ashanti Moore,18,2,nil,4769x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Maricia Spence,18,3,nil,4516x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Thaila Wilson,18,4,nil,4448x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Marney Mussenden,18,5,nil,4263x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Jamila Alexander,18,6,nil,4212x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Beyonce Sinclair,18,7,nil,3700x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Seana'kaye Wright,18,8,nil,3680x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Tiana Wilson,18,9,nil,3432x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Jodian Dennis,18,10,nil,3430x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Shannel Waite,18,11,nil,2661x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Corsella Cameron,18,12,nil,2584x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Wikenson Fenelon,19,1,nil,6678x,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,David Edmondson,19,2,nil,6325x,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Brandon Mclaren,19,3,nil,6277x,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Ricardo Smith,19,4,nil,6243x,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Chadrick Williams,19,5,nil,6108x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Tevaughn Tate,19,6,nil,5753x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Dario Beckford,19,7,nil,5605x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Derick Robinson,19,8,nil,5524x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Swayne Murray,19,9,nil,5437x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Orlando Chambers,19,10,nil,5290x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Winston Harrison,19,11,nil,4991x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Nevaugh Beckford,19,12,nil,4645x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shavaine Mcfarlan,19,13,nil,4601x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Romario Brown,19,14,nil,4026x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Marlon Carnegie,19,15,nil,3873x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Thaila Wilson,19,1,nil,4913x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Maricia Spence,19,2,nil,4794x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Aaliyah Lindsay,19,3,nil,4724x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Brittaney Orr,19,4,nil,4715x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Dayshanae Hall,19,5,nil,4643x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Amoy Edwards,19,6,nil,4358x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Jamera Scott,19,7,nil,4148x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Shanice Walsh,19,8,nil,4145x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Amani Cooke,19,9,nil,4089x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Beyonce Sinclair,19,10,nil,4085x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Jamila Alexander,19,11,nil,4052x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Amanda Thrue,19,12,nil,3821x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Katherine Barnes,19,13,nil,3723x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Aliyah Baker,19,14,nil,3436x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Chezigay Williams,19,15,nil,3133x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Monique Streete,19,16,nil,3093x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Rusheedie Roberts,19,17,nil,2739x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Shaloam Gardner,19,18,nil,2456x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Kelleen Williams,19,19,nil,2347x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Chrisy Glanville,19,20,nil,2260x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Javain Johnson,21,1,nil,5973x,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Dishaun Lamb,21,2,nil,5521x,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shamar Coke,21,3,nil,4962x,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Ian Wiggan,21,4,nil,4939x,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Kyron Palmer,21,5,nil,4863x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,tyyear harris,21,6,nil,4633x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Zion Bennett,21,7,nil,4304x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Dermaine Campbell,21,8,nil,4289x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Wooslyn Harvey,21,9,nil,4255x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Hall High,21,10,nil,3981x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,21,11,nil,3381x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Amanda Thrue,21,1,nil,4542x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Gizel Clayton,21,2,nil,4540x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Amoy Edwards,21,3,nil,4531x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Calleisha Chance,21,4,nil,4091x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Crystal Walker,21,5,nil,3923x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Teiolla Harvey,21,6,nil,3651x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Dayshanae Hall,21,7,nil,3640x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Shanice Johnson,21,8,nil,2760x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Tavia Hutchinson,21,9,nil,2733x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Isaiah Patrick,23,1,nil,6969Rx,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Dorian Charles,23,2,nil,6579x,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Kevin Brooks,23,3,nil,6202x,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Courtney Williams,23,4,nil,6112x,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Omarr Locke,23,5,nil,5268x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Zico Bennett,23,6,nil,5081x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Antwan Salmon,23,7,nil,5073x,3
